,name,value,date
0,LucasArts,1,1995-01-01
1,3DRealms,0,1995-01-01
2,MPSLabs,0,1995-01-01
3,PulseEntertainment,0,1995-01-01
4,Capcom,0,1995-01-01
5,idSoftware,0,1995-01-01
6,AdelineSoftware,0,1995-01-01
7,Namco,0,1995-01-01
8,Nintendo,0,1995-01-01
9,ParadigmEntertainment,0,1995-01-01
10,RevolutionSoftware,0,1995-01-01
11,Psygnosis,0,1995-01-01
12,DigiFXInteractive,0,1995-01-01
13,SimTex,0,1995-01-01
14,WestwoodStudios,0,1995-01-01
15,CoreDesignLtd.,0,1995-01-01
16,RocketScienceGames,0,1995-01-01
17,TaitoCorporation,0,1995-01-01
18,BlizzardEntertainment,0,1995-01-01
19,RareLtd.,0,1995-01-01
20,IguanaEntertainment,0,1995-01-01
21,SmokingCarProductions,0,1995-01-01
22,MonolithProductions,0,1995-01-01
23,OddworldInhabitants,0,1995-01-01
24,SquareSoft,0,1995-01-01
25,CavedogEntertainment,0,1995-01-01
26,EnsembleStudios,0,1995-01-01
27,ProbeEntertainmentLimited,0,1995-01-01
28,RunningWithScissors,0,1995-01-01
29,FiraxisGames,0,1995-01-01
30,LightWeight,0,1995-01-01
31,Konami,0,1995-01-01
32,BlackIsleStudios,0,1995-01-01
33,EurocomEntertainmentSoftware,0,1995-01-01
34,NanaOn-Sha,0,1995-01-01
35,BungieSoftware,0,1995-01-01
36,Bungie,0,1995-01-01
37,CyanWorlds,0,1995-01-01
38,MatrixSoftware,0,1995-01-01
39,MidwayStudios-SanDiego,0,1995-01-01
40,KonamiComputerEntertainmentOsaka,0,1995-01-01
41,TeamNinja,0,1995-01-01
42,TribalDreams,0,1995-01-01
43,PolyphonyDigital,0,1995-01-01
44,HyperBoleStudios,0,1995-01-01
45,AlfaSystem,0,1995-01-01
46,Infogrames,0,1995-01-01
47,TopWareInteractive,0,1995-01-01
48,RedStormEntertainment,0,1995-01-01
49,TechnoSoft,0,1995-01-01
50,Acquire,0,1995-01-01
51,DMADesign,0,1995-01-01
52,KCEJ,0,1995-01-01
