name,platform,r-date,score,user score,developer,genre,players,critics,users
Full Throttle,PC,1995-04-30,86,8.6,LucasArts,"Adventure,General",No info,8,189
Duke Nukem 3D,PC,1996-01-29,89,8.7,3DRealms,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",Up to 8 ,8,489
Sid Meier's Civilization II,PC,1996-02-29,94,8.8,MPSLabs,"Strategy,Turn-Based,Historic,General,Historic,4X",1 Player,7,471
Bad Mojo,PC,1996-02-29,74,6.9,PulseEntertainment,"Action Adventure,Adventure,General,Horror,General",1 Player,10,13
Resident Evil,PlayStation,1996-03-30,91,9.1,Capcom,"Action Adventure,Horror",1 Player,8,623
Quake,PC,1996-06-22,94,8.8,idSoftware,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",1-16 ,9,899
Time Commando,PC,1996-07-31,80,8.3,AdelineSoftware,"Action Adventure,Sci-Fi,Sci-Fi,General",No Online Multiplayer,7,31
Tekken 2,PlayStation,1996-08-25,89,8.3,Namco,"Action,Fighting,3D",1-2 ,8,181
Super Mario 64,Nintendo64,1996-09-26,94,9.1,Nintendo,"Action,Platformer,3D",1 Player,13,1459
Pilotwings 64,Nintendo64,1996-09-29,80,8.1,ParadigmEntertainment,"Simulation,General",1 Player,13,46
Circle of Blood,PC,1996-09-30,80,8.3,RevolutionSoftware,"Adventure,General,General,Point-and-Click",1 Player,9,22
Wipeout XL,PlayStation,1996-09-30,93,8.6,Psygnosis,"Driving,Racing,Futuristic",1-2 ,8,42
Harvester,PC,1996-10-01,53,7.8,DigiFXInteractive,"Adventure,General,General,Point-and-Click",No Online Multiplayer,8,52
Master of Orion II: Battle at Antares,PC,1996-10-01,84,9.0,SimTex,"Strategy,Turn-Based,Sci-Fi,4X",2 ,9,43
Command & Conquer: Red Alert,PC,1996-10-31,90,8.7,WestwoodStudios,"Strategy,Real-Time,Sci-Fi,Sci-Fi,Command",1-6 ,7,382
Wave Race 64,Nintendo64,1996-11-01,92,8.3,Nintendo,"Driving,Racing,Snow / Water",1-2 ,13,109
Tomb Raider,PlayStation,1996-11-15,91,8.4,CoreDesignLtd.,"Action Adventure,Modern",1 Player,13,277
Super Puzzle Fighter II Turbo,PlayStation,1996-11-30,83,8.5,Capcom,"Miscellaneous,Puzzle,Matching",1-2 ,9,13
Obsidian,PC,1996-12-31,85,7.1,RocketScienceGames,"Adventure,General,General",1 Player,9,16
RayStorm,PlayStation,1996-12-31,79,7.6,TaitoCorporation,"Action,General",1-2 ,7,7
Diablo,PC,1996-12-31,94,8.7,BlizzardEntertainment,"Role-Playing,Action RPG,Action RPG",Up to 4 ,12,1243
Mario Kart 64,Nintendo64,1997-02-10,83,8.6,Nintendo,"Driving,Racing,Kart",1-4 ,15,438
Blast Corps,Nintendo64,1997-02-28,90,8.3,RareLtd.,"Action,General",1 Player,12,57
Turok: Dinosaur Hunter,Nintendo64,1997-02-28,85,8.2,IguanaEntertainment,"Action,Shooter,First-Person,Sci-Fi",1 Player,13,86
The Last Express,PC,1997-03-31,82,8.7,SmokingCarProductions,"Adventure,General,General",No Online Multiplayer,8,73
Blood,PC,1997-05-31,82,8.8,MonolithProductions,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade",1-8 ,7,146
Star Fox 64,Nintendo64,1997-07-01,88,8.8,Nintendo,"Action,Shooter,Rail",1-4 ,16,271
Ace Combat 2,PlayStation,1997-07-31,83,8.7,Namco,"Simulation,Flight,Modern Jet",1 Player,10,53
GoldenEye 007,Nintendo64,1997-08-25,96,9.0,RareLtd.,"Action,Shooter,First-Person,Modern",1-4 ,21,732
Oddworld: Abe's Oddysee,PlayStation,1997-08-31,85,8.9,OddworldInhabitants,"Action,Platformer,2D",1-2 ,10,159
Final Fantasy VII,PlayStation,1997-09-03,92,9.1,SquareSoft,"Role-Playing,Console-style RPG",1 Player,20,2274
Total Annihilation,PC,1997-09-27,86,8.8,CavedogEntertainment,"Strategy,Real-Time,Sci-Fi,Sci-Fi,General,Command",Up to 10 ,10,212
Age of Empires,PC,1997-09-30,83,8.7,EnsembleStudios,"Strategy,Real-Time,Historic,Historic,Command",1-8 ,9,386
Extreme-G,Nintendo64,1997-09-30,82,8.5,ProbeEntertainmentLimited,"Driving,Racing,Futuristic",1-4 ,11,26
Postal,PC,1997-09-30,56,6.5,RunningWithScissors,"Action,Shooter,General,Shooter,Third-Person,Shoot-'Em-Up,Modern,Top-Down",Up to 16 ,7,120
Sid Meier's Gettysburg!,PC,1997-09-30,92,7.4,FiraxisGames,"Strategy,Real-Time,Wargame,Real-Time,General",1-8 ,7,40
Bushido Blade,PlayStation,1997-09-30,83,8.4,LightWeight,"Action,Fighting,3D",1-2 ,13,31
Castlevania: Symphony of the Night,PlayStation,1997-10-02,93,9.2,Konami,"Action,Platformer,2D",1 Player,12,734
Star Wars Jedi Knight: Dark Forces II,PC,1997-10-09,91,8.6,LucasArts,"Action,Shooter,Shooter,First-Person,Sci-Fi,Arcade",Up to 32 ,10,207
Fallout,PC,1997-10-09,89,8.8,BlackIsleStudios,"Role-Playing,First-Person,First-Person,PC-style RPG,PC-style RPG,Western-Style",No Online Multiplayer,12,1350
Broken Sword: The Smoking Mirror,PC,1997-10-31,69,8.0,RevolutionSoftware,"Adventure,Third-Person,Point-and-Click,Modern,Modern",No Online Multiplayer,11,121
Duke Nukem 64,Nintendo64,1997-10-31,73,7.4,EurocomEntertainmentSoftware,"Action,Shooter,First-Person,Sci-Fi",1-4 ,11,32
Colony Wars,PlayStation,1997-10-31,91,8.3,Psygnosis,"Simulation,Sci-Fi,Small Spaceship",1 Player,12,24
PaRappa the Rapper,PlayStation,1997-10-31,92,7.5,NanaOn-Sha,"Miscellaneous,Rhythm,Music",1 Player,15,88
The Curse of Monkey Island,PC,1997-10-31,89,9.0,LucasArts,"Adventure,General,General,Point-and-Click",No Online Multiplayer,9,346
Myth: The Fallen Lords,PC,1997-10-31,91,8.5,"BungieSoftware,Bungie","Strategy,Real-Time,Fantasy,General,Fantasy",1-16 ,9,97
Riven: The Sequel to Myst,PC,1997-10-31,83,8.8,CyanWorlds,"Adventure,3D,First-Person,Fantasy,Fantasy",No Online Multiplayer,12,25
Diddy Kong Racing,Nintendo64,1997-11-24,88,8.5,RareLtd.,"Driving,Racing,Kart",1-4 ,15,187
Alundra,PlayStation,1997-12-31,86,8.6,MatrixSoftware,"Role-Playing,Action RPG",1 Player,9,90
Resident Evil 2,PlayStation,1998-01-21,89,9.2,Capcom,"Action Adventure,Horror",1 Player,13,932
Final Fantasy Tactics,PlayStation,1998-01-28,83,9.1,SquareSoft,"Strategy,Turn-Based,Fantasy",1 Player,12,377
Yoshi's Story,Nintendo64,1998-03-01,65,7.4,Nintendo,"Action,Platformer,2D",1 Player,8,120
Quake,Nintendo64,1998-03-24,74,7.0,MidwayStudios-SanDiego,"Action,Shooter,First-Person,Sci-Fi",1-2 ,8,25
Mystical Ninja starring Goemon,Nintendo64,1998-03-31,67,8.4,KonamiComputerEntertainmentOsaka,"Action,General",1 Player,10,48
Dead or Alive,PlayStation,1998-03-31,84,8.5,TeamNinja,"Action,Fighting,3D",1-2 ,10,31
