,genre,count,year
0,Adventure,1,1995
1,General,1,1995
2,Action,0,1995
3,Shooter,0,1995
4,First-Person,0,1995
5,Sci-Fi,0,1995
6,Arcade,0,1995
7,Strategy,0,1995
8,Turn-Based,0,1995
9,Historic,0,1995
10,4X,0,1995
11,Action Adventure,0,1995
12,Horror,0,1995
13,Fighting,0,1995
14,3D,0,1995
15,Platformer,0,1995
16,Simulation,0,1995
17,Point-and-Click,0,1995
18,Driving,0,1995
19,Racing,0,1995
20,Futuristic,0,1995
21,Real-Time,0,1995
22,Command,0,1995
23,Snow / Water,0,1995
24,Modern,0,1995
25,Miscellaneous,0,1995
26,Puzzle,0,1995
27,Matching,0,1995
28,Role-Playing,0,1995
29,Action RPG,0,1995
30,Kart,0,1995
31,Rail,0,1995
32,Flight,0,1995
33,Modern Jet,0,1995
34,2D,0,1995
35,Console-style RPG,0,1995
36,Third-Person,0,1995
37,Shoot-'Em-Up,0,1995
38,Top-Down,0,1995
39,Wargame,0,1995
40,PC-style RPG,0,1995
41,Western-Style,0,1995
42,Small Spaceship,0,1995
43,Rhythm,0,1995
44,Music,0,1995
45,Fantasy,0,1995
46,GT / Street,0,1995
47,Scrolling,0,1995
48,Light Gun,0,1995
49,Tactical,0,1995
50,Tycoon,0,1995
51,Management,0,1995
52,Business / Tycoon,0,1995
53,Combat,0,1995
54,Party,0,1995
55,Massively Multiplayer Online,0,1995
56,Massively Multiplayer,0,1995
57,Sports,0,1995
58,Traditional,0,1995
59,Golf,0,1995
60,Mission-based,0,1995
61,Football,0,1995
62,Survival,0,1995
63,Alternative,0,1995
64,Skateboarding,0,1995
65,Motorcycle,0,1995
66,Motocross,0,1995
67,Space,0,1995
68,Breeding/Constructing,0,1995
69,Beat-'Em-Up,0,1995
70,Automobile,0,1995
71,Virtual Life,0,1995
72,Virtual,0,1995
73,Parlor,0,1995
74,Billiards,0,1995
75,City Building,0,1995
76,Government,0,1995
77,Tactics,0,1995
78,Tennis,0,1995
79,Sim,0,1995
80,Large Spaceship,0,1995
81,Civilian,0,1995
82,Rally / Offroad,0,1995
83,Formula One,0,1995
84,Nature,0,1995
85,Fishing,0,1995
86,Baseball,0,1995
87,Olympic Sports,0,1995
88,Helicopter,0,1995
89,Wrestling,0,1995
90,Futuristic Sub,0,1995
91,Individual,0,1995
92,Team,0,1995
93,Athletics,0,1995
94,Ice Hockey,0,1995
95,Futuristic Jet,0,1995
96,Stock Car,0,1995
97,Tank,0,1995
98,Vehicle,0,1995
99,Demolition Derby,0,1995
100,Biking,0,1995
101,Snowboarding,0,1995
102,Street,0,1995
103,WWII,0,1995
104,Board / Card Game,0,1995
105,Basketball,0,1995
106,Boxing,0,1995
107,Mech,0,1995
108,Skate / Skateboard,0,1995
109,Surfing,0,1995
110,Soccer,0,1995
111,Trivia / Game Show,0,1995
112,Car Combat,0,1995
113,Volleyball,0,1995
114,Other,0,1995
115,Linear,0,1995
116,Surf / Wakeboard,0,1995
117,Ship,0,1995
118,Marine,0,1995
119,Compilation,0,1995
120,Pinball,0,1995
121,Dancing,0,1995
122,Music Maker,0,1995
123,Train,0,1995
124,Artillery,0,1995
125,Japanese-Style,0,1995
126,Rugby,0,1995
127,Horse Racing,0,1995
128,Stacking,0,1995
129,Military,0,1995
130,Career,0,1995
131,Civilian Plane,0,1995
132,Submarine,0,1995
133,On-foot,0,1995
134,Open-World,0,1995
135,Truck,0,1995
136,Horizontal,0,1995
137,Skating,0,1995
138,Card Battle,0,1995
139,Board Games,0,1995
140,Old Jet,0,1995
141,Hunting,0,1995
142,Wakeboarding,0,1995
143,Vertical,0,1995
144,No info,0,1995
145,Bowling,0,1995
146,WWI,0,1995
147,Edutainment,0,1995
148,Gambling,0,1995
