,platform,count,year
0,PC,1,1995
1,PlayStation,0,1995
2,Nintendo64,0,1995
3,Dreamcast,0,1995
4,PlayStation2,0,1995
5,GameBoyAdvance,0,1995
6,Xbox,0,1995
7,GameCube,0,1995
8,DS,0,1995
9,PSP,0,1995
10,Xbox360,0,1995
11,PlayStation3,0,1995
12,Wii,0,1995
13,3DS,0,1995
14,PlayStationVita,0,1995
15,WiiU,0,1995
16,PlayStation4,0,1995
17,XboxOne,0,1995
18,Switch,0,1995
19,Stadia,0,1995
20,XboxSeriesX,0,1995
21,PlayStation5,0,1995
22,PC,12,1996
23,PlayStation,6,1996
24,Nintendo64,3,1996
25,Dreamcast,0,1996
26,PlayStation2,0,1996
27,GameBoyAdvance,0,1996
28,Xbox,0,1996
29,GameCube,0,1996
30,DS,0,1996
31,PSP,0,1996
32,Xbox360,0,1996
33,PlayStation3,0,1996
34,Wii,0,1996
35,3DS,0,1996
36,PlayStationVita,0,1996
37,WiiU,0,1996
38,PlayStation4,0,1996
39,XboxOne,0,1996
40,Switch,0,1996
41,Stadia,0,1996
42,XboxSeriesX,0,1996
43,PlayStation5,0,1996
44,PC,24,1997
45,PlayStation,14,1997
46,Nintendo64,11,1997
47,Dreamcast,0,1997
48,PlayStation2,0,1997
49,GameBoyAdvance,0,1997
50,Xbox,0,1997
51,GameCube,0,1997
52,DS,0,1997
53,PSP,0,1997
54,Xbox360,0,1997
55,PlayStation3,0,1997
56,Wii,0,1997
57,3DS,0,1997
58,PlayStationVita,0,1997
59,WiiU,0,1997
60,PlayStation4,0,1997
61,XboxOne,0,1997
62,Switch,0,1997
63,Stadia,0,1997
64,XboxSeriesX,0,1997
65,PlayStation5,0,1997
66,PC,39,1998
67,PlayStation,30,1998
68,Nintendo64,25,1998
69,Dreamcast,0,1998
70,PlayStation2,0,1998
71,GameBoyAdvance,0,1998
72,Xbox,0,1998
73,GameCube,0,1998
74,DS,0,1998
75,PSP,0,1998
76,Xbox360,0,1998
77,PlayStation3,0,1998
78,Wii,0,1998
79,3DS,0,1998
80,PlayStationVita,0,1998
81,WiiU,0,1998
82,PlayStation4,0,1998
83,XboxOne,0,1998
84,Switch,0,1998
85,Stadia,0,1998
86,XboxSeriesX,0,1998
87,PlayStation5,0,1998
88,PC,53,1999
89,PlayStation,54,1999
90,Nintendo64,37,1999
91,Dreamcast,3,1999
92,PlayStation2,0,1999
93,GameBoyAdvance,0,1999
94,Xbox,0,1999
95,GameCube,0,1999
96,DS,0,1999
97,PSP,0,1999
98,Xbox360,0,1999
99,PlayStation3,0,1999
100,Wii,0,1999
101,3DS,0,1999
102,PlayStationVita,0,1999
103,WiiU,0,1999
104,PlayStation4,0,1999
105,XboxOne,0,1999
106,Switch,0,1999
107,Stadia,0,1999
108,XboxSeriesX,0,1999
109,PlayStation5,0,1999
110,PC,180,2000
111,PlayStation,135,2000
112,Nintendo64,64,2000
113,Dreamcast,80,2000
114,PlayStation2,44,2000
115,GameBoyAdvance,0,2000
116,Xbox,0,2000
117,GameCube,0,2000
118,DS,0,2000
119,PSP,0,2000
120,Xbox360,0,2000
121,PlayStation3,0,2000
122,Wii,0,2000
123,3DS,0,2000
124,PlayStationVita,0,2000
125,WiiU,0,2000
126,PlayStation4,0,2000
127,XboxOne,0,2000
128,Switch,0,2000
129,Stadia,0,2000
130,XboxSeriesX,0,2000
131,PlayStation5,0,2000
132,PC,352,2001
133,PlayStation,180,2001
134,Nintendo64,71,2001
135,Dreamcast,125,2001
136,PlayStation2,201,2001
137,GameBoyAdvance,64,2001
138,Xbox,36,2001
139,GameCube,20,2001
140,DS,0,2001
141,PSP,0,2001
142,Xbox360,0,2001
143,PlayStation3,0,2001
144,Wii,0,2001
145,3DS,0,2001
146,PlayStationVita,0,2001
147,WiiU,0,2001
148,PlayStation4,0,2001
149,XboxOne,0,2001
150,Switch,0,2001
151,Stadia,0,2001
152,XboxSeriesX,0,2001
153,PlayStation5,0,2001
154,PC,528,2002
155,PlayStation,187,2002
156,Nintendo64,71,2002
157,Dreamcast,126,2002
158,PlayStation2,419,2002
159,GameBoyAdvance,177,2002
160,Xbox,180,2002
161,GameCube,147,2002
162,DS,0,2002
163,PSP,0,2002
164,Xbox360,0,2002
165,PlayStation3,0,2002
166,Wii,0,2002
167,3DS,0,2002
168,PlayStationVita,0,2002
169,WiiU,0,2002
170,PlayStation4,0,2002
171,XboxOne,0,2002
172,Switch,0,2002
173,Stadia,0,2002
174,XboxSeriesX,0,2002
175,PlayStation5,0,2002
176,PC,727,2003
177,PlayStation,189,2003
178,Nintendo64,71,2003
179,Dreamcast,126,2003
180,PlayStation2,633,2003
181,GameBoyAdvance,281,2003
182,Xbox,361,2003
183,GameCube,257,2003
184,DS,0,2003
185,PSP,0,2003
186,Xbox360,0,2003
187,PlayStation3,0,2003
