name,platform,r-date,score,user score,developer,genre,players,critics,users
Power Rangers: Battle for the Grid,Switch,"March 26, 2019",62,6.1,nWay,"Action,Platformer,Fighting,2D",2 ,15,15
The Spiderwick Chronicles,Wii,"February 5, 2008",62,tbd,StormfrontStudios,"Adventure,General,General",No Online Multiplayer,13,0
Trinity Universe,PlayStation3,"June 29, 2010",62,7.5,"Gust,IdeaFactory","Role-Playing,General,General,Japanese-Style",No Online Multiplayer,25,28
Gunpey,PSP,"November 17, 2006",62,tbd,QEntertainment,"Miscellaneous,Puzzle,Puzzle,General,Puzzle,General",2 ,24,0
Greak: Memories of Azur,XboxSeriesX,"August 17, 2021",62,tbd,NaveganteEntertainment,"Action Adventure,General",No info,8,0
Haunted Dungeons: Hyakki Castle,Switch,"August 30, 2018",62,tbd,AsakusaStudios,"Role-Playing,General",No Online Multiplayer,9,0
The Little Acre,PC,"December 13, 2016",62,6.5,PewterGamesStudios,"Action Adventure,Linear",No Online Multiplayer,12,22
Back to Bed,PlayStation4,"August 25, 2015",62,5.2,"BedtimeDigitalGames,LOOTInteractive","Action,General",No info,8,13
Breach & Clear: Deadline,PC,"July 20, 2015",62,6.8,MightyRabbitStudios,"Strategy,Real-Time,Tactics",No Online Multiplayer,8,5
Color Guardians,PlayStation4,"May 12, 2015",62,6.2,FairPlayLabs,"Action,Platformer,3D",No info,16,59
Conception II: Children of the Seven Stars,3DS,"April 15, 2014",62,7.7,"Spike,SpikeChunsoft","Role-Playing,Console-style RPG,Japanese-Style",No Online Multiplayer,11,43
Bakugan: Defenders of the Core,Xbox360,"October 26, 2010",62,8.0,NowProduction,"Action,General,General",No Online Multiplayer,10,4
Spider-Man: Friend or Foe,PlayStation2,"October 2, 2007",62,8.0,NextLevelGames,"Action,General",1-2 ,15,40
Mysterious Journey II,PC,"November 25, 2003",62,4.8,Detalion,"Adventure,3D,First-Person,Sci-Fi,Sci-Fi",1 Player,18,5
The Hobbit,PC,"November 10, 2003",62,7.2,InevitableEntertainment,"Action Adventure,Fantasy,General,Fantasy",1 Player,12,22
Dragon's Lair 3D: Return to the Lair,PC,"November 18, 2002",61,tbd,"Dragonstone,DragonstoneSoftware","Action,Action Adventure,Platformer,Platformer,Linear,3D,3D",No Online Multiplayer,13,0
WWE SmackDown vs. Raw 2008,DS,"November 13, 2007",61,6.8,AmazeEntertainment,"Action,Sports,Fighting,Fighting,Individual,Wrestling,Combat,Wrestling",1-2 ,12,18
Forza Horizon 2 Presents Fast & Furious,XboxOne,"March 27, 2015",61,7.8,PlaygroundGames,"Racing,Simulation,Automobile",No info,12,123
Sphinx and the Cursed Mummy,Switch,"January 29, 2019",61,6.9,Eurocom,"Action Adventure,General",No Online Multiplayer,15,24
Athens 2004,PlayStation2,"July 14, 2004",61,7.4,EurocomEntertainmentSoftware,"Sports,Olympic Sports",1-4 ,57,14
Nickelodeon Danny Phantom: Urban Jungle,DS,"September 19, 2006",61,tbd,Altron,"Action,Shooter,Shooter,Scrolling,Scrolling,Shoot-'Em-Up,Vertical",1-2 ,9,0
F.E.A.R. Perseus Mandate,PC,"November 6, 2007",61,7.3,TimeGateStudios,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade",16  Online,27,140
Rory McIlroy PGA Tour,PlayStation4,"July 14, 2015",61,3.8,EATiburon,"Traditional,Sports,Individual,Golf,Sim",Up to 8 ,33,89
99Vidas,PlayStation4,"July 18, 2017",61,6.5,QUByteInteractive,"Action,Beat-'Em-Up,2D",Up to 4 ,11,39
Blacklight: Tango Down,Xbox360,"July 7, 2010",61,7.3,ZombieStudios,"Action,Shooter,Shooter,First-Person,Modern,Tactical,Modern,Arcade",1 Player,44,68
Breach (2011),PC,"January 26, 2011",61,5.8,AtomicGames,"Action,Shooter,Shooter,First-Person,Tactical,Modern,Modern",No info,12,44
Vigor,XboxOne,"July 31, 2018",61,7.4,BohemiaInteractive,"Action Adventure,Survival",No Online Multiplayer,8,62
Lost Planet 3,PlayStation3,"August 27, 2013",61,5.8,SparkUnlimited,"Action,Shooter,Shooter,Third-Person,Sci-Fi,Sci-Fi,Arcade",Up to 10 ,30,110
Lost Ruins,PC,"May 13, 2021",61,8.2,AltariGames,"Action Adventure,Survival",No Online Multiplayer,7,6
The Park,XboxOne,"May 3, 2016",61,6.0,Funcom,"Action Adventure,Survival",No info,11,11
Gunscape,PlayStation4,"March 1, 2016",61,5.0,BlowfishStudios,"Action,Shooter,First-Person,Arcade",Up to 20 ,7,4
Sym,PC,"May 7, 2015",61,tbd,AtraxGames,"Action,General,General",No info,11,0
Conflict: Global Terror,PC,"October 3, 2005",61,7.1,PivotalGames,"Action,Shooter,Shooter,Third-Person,Tactical,Modern,Modern",4  Online,10,18
Cooking Mama: Cook Off,Wii,"March 20, 2007",61,5.7,OfficeCreate,"Simulation,Miscellaneous,General,General,Virtual,Career",No Online Multiplayer,37,26
Gal Metal,Switch,"October 30, 2018",61,6.6,DMMGAMES,"Action,Rhythm,Music",No Online Multiplayer,21,10
Dinosaur King,DS,"September 23, 2008",61,8.3,ClimaxEntertainment,"Role-Playing,Strategy,General,General,General",1-2 ,13,13
WRC 8 FIA World Rally Championship,Switch,"October 31, 2019",61,5.5,Kylotonn,"Racing,Arcade,Automobile",No Online Multiplayer,10,22
Friday the 13th: The Game,PlayStation4,"May 26, 2017",61,6.3,"IllFonic,GunMedia","Action Adventure,Survival",Up to 8 ,16,262
Pure Chess,WiiU,"March 20, 2014",61,6.9,VooFooStudios,"Miscellaneous,Board Games,Board / Card Game",No info,8,17
Rig'n'Roll,PC,"April 16, 2010",61,5.4,Softlab-NSK,"Driving,Racing,Simulation,Truck,Automobile",No info,9,27
Star Wars Battlefront: Elite Squadron,DS,"November 3, 2009",61,5.7,n-Space,"Action,Shooter,Shooter,Third-Person,Sci-Fi,Sci-Fi,Arcade",4  Online,12,12
MLB 2004,PlayStation2,"March 10, 2003",61,7.9,989Sports,"Sports,Traditional,Baseball,Sim",1-2 ,21,9
Lego Soccer Mania,PlayStation2,"June 17, 2002",61,8.6,SiliconDreams,"Sports,Traditional,Soccer,Arcade",No info,8,5
Pinobee: Wings of Adventure,GameBoyAdvance,"May 30, 2001",61,8.0,Artoon,"Action,General",No info,8,4
Europa Universalis: Crown of the North,PC,"November 9, 2000",61,6.7,ParadoxDevelopmentStudio,"Strategy,Real-Time,Historic,General,Historic",No info,9,11
007: The World is not Enough,PlayStation,"November 6, 2000",61,6.7,BlackOpsEntertainment,"Action,Shooter,First-Person,Modern",No info,11,53
Mission: Impossible,Nintendo64,"July 18, 1998",61,6.6,Infogrames,"Action Adventure,Modern",1 Player,11,46
Magnetic: Cage Closed,PC,"May 26, 2015",61,7.4,GuruGames,"Sci-Fi,Adventure,3D,First-Person",No Online Multiplayer,17,22
The Grim Adventures of Billy & Mandy,Wii,"November 16, 2006",61,6.1,HighVoltageSoftware,"Action,Beat-'Em-Up,Beat-'Em-Up,Fighting,2D,3D",No Online Multiplayer,10,7
Naruto to Boruto: Shinobi Striker,PlayStation4,"August 31, 2018",61,6.2,"CyberConnect2,Soleil","Action,Fighting,3D",Up to 8 ,29,92
World of Warriors,PlayStation4,"March 21, 2018",61,2.9,MindCandy,"Action,General",Up to 4 ,12,10
Blood Bowl,PSP,"April 13, 2010",61,6.0,Cyanide,"Sports,Alternative,Team,Individual,Football,Other,Other,Arcade",No info,9,4
Up,Xbox360,"May 26, 2009",61,7.0,HeavyIronStudios,"Action Adventure,Modern,General,Modern,Linear",No Online Multiplayer,18,8
Disney Hannah Montana: Music Jam,DS,"October 16, 2007",61,5.0,GorillaGames,"Action,General,Rhythm,General,Music",No info,10,6
Heracles Chariot Racing,Wii,"July 6, 2009",61,tbd,NekoEntertainment,"Driving,Racing,Arcade,Other,Other",1-4 ,11,0
Tharsis,PC,"January 11, 2016",61,4.8,ChoiceProvisions,"Miscellaneous,Board / Card Game",No Online Multiplayer,23,51
Tannenberg,PlayStation4,"July 24, 2020",61,tbd,M2H,"Action,Shooter,First-Person,Tactical",Up to 40 ,10,0
Dungeons 2,PlayStation4,"May 24, 2016",61,6.6,Kalypso,"Strategy,General",Up to 4 ,9,25
WE ARE DOOMED,PlayStation4,"April 14, 2015",61,5.9,VertexPop,"Action,Shooter,Shoot-'Em-Up,Horizontal",No info,9,22
Sixty Second Shooter Prime,XboxOne,"June 18, 2014",61,7.1,HappionLaboratories,"Action,Shooter,Static,Shoot-'Em-Up,Top-Down",No info,8,16
Tom Clancy's Ghost Recon Advanced Warfighter 2,PSP,"August 23, 2007",61,5.2,"HighVoltageSoftware,UbisoftParis","Action,Shooter,Shooter,First-Person,Tactical,Modern,Modern",2  Online,12,12
Rayman 3D,3DS,"March 22, 2011",61,6.4,UbisoftCasablanca,"Action,Platformer,Platformer,3D,3D",No info,39,59
Arcade Classics Anniversary Collection,Switch,"April 18, 2019",61,5.0,Konami,"Miscellaneous,Compilation",No Online Multiplayer,13,4
The Lord of the Rings: War in the North,Xbox360,"November 1, 2011",61,7.3,SnowblindStudios,"Role-Playing,Action RPG,Action RPG",Up to 3 ,48,130
Harry Potter and the Order of the Phoenix,PlayStation2,"June 25, 2007",61,5.7,EAGames,"Action Adventure,Fantasy",1 Player,17,55
MX vs. ATV Alive,PlayStation3,"May 10, 2011",61,6.8,THQDigitalStudioPhoenix,"Driving,Racing,Arcade,Rally / Offroad,Motorcycle,Other,Motocross,Motocross",Up to 12 ,41,13
Dynasty Warriors 5 Empires,Xbox360,"March 28, 2006",61,8.3,OmegaForce,"Action,Beat-'Em-Up,Beat-'Em-Up,3D",1-2 ,40,20
Friday the 13th: The Game,PC,"May 26, 2017",61,6.2,"IllFonic,GunMedia","Horror,Action Adventure,Survival",No info,23,248
Necromunda: Hired Gun,PC,"June 1, 2021",61,6.3,StreumOnStudio,"Strategy,Turn-Based,Tactics",No Online Multiplayer,32,49
Sword Art Online: Fatal Bullet,PC,"February 23, 2018",61,7.3,DimpsCorporation,"Action,Shooter,Third-Person,Arcade",Up to 8 ,7,62
WRC 3: FIA World Rally Championship,PC,"April 23, 2013",61,7.6,MilestoneS.r.l,"Driving,Racing,Simulation,Rally / Offroad,Rally / Offroad,Automobile",No info,10,29
Shaun White Skateboarding,PlayStation3,"October 24, 2010",61,6.5,UbisoftMontreal,"Sports,Alternative,Individual,Other,Other,Skate / Skateboard",Up to 8 ,26,8
The Lord of the Rings: Conquest,DS,"January 13, 2009",61,7.1,ArtificialMindandMovement,"Action Adventure,Fantasy,General,Fantasy",No info,9,8
Dokapon Kingdom,PlayStation2,"October 14, 2008",61,6.9,Sting,"Role-Playing,General",1-4 ,8,9
Loki,PC,"October 2, 2007",61,5.7,Cyanide,"Role-Playing,Action RPG,Action RPG",6  Online,21,47
Medieval Moves: Deadmund's Quest,PlayStation3,"November 15, 2011",61,6.9,ZindagiGames,"Action Adventure,Fantasy,General,Fantasy",2  Online,41,18
Ninety-Nine Nights,Xbox360,"August 15, 2006",61,6.6,"Phantagram,QEntertainment","Action,Beat-'Em-Up,Beat-'Em-Up,2D",1 Player,66,64
Future Tactics: The Uprising,PlayStation2,"May 10, 2004",61,6.0,ZedTwoLimited,"Strategy,Turn-Based,Sci-Fi",1-2 ,25,8
The Sinking City,Switch,"September 12, 2019",61,7.7,Frogwares,"Action Adventure,Survival",No Online Multiplayer,22,70
King Arthur,Xbox,"November 16, 2004",61,tbd,KromeStudios,"Action Adventure,Fantasy",1-2 ,15,0
Galactic Wrestling: Featuring Ultimate Muscle,PlayStation2,"June 30, 2004",61,8.0,AkiCorp.,"Action,Fighting,Wrestling",1-4 ,12,5
Yu-Gi-Oh! Reshef of Destruction,GameBoyAdvance,"June 29, 2004",61,7.2,Konami,"Miscellaneous,Card Battle",1-2 ,12,17
Beam Breakers,PC,"October 21, 2002",61,7.0,Similis,"Driving,Racing,Arcade,Futuristic,Automobile",1-6 ,11,5
