,name,platform,r_date,score,user score,developer,genre,players,critics,users,SMA_year
4,Resident Evil,PlayStation,1996-03-30,91,9.1,Capcom,"Action Adventure,Horror",1 Player,8,623,9.1
8,Super Mario 64,Nintendo64,1996-09-26,94,9.1,Nintendo,"Action,Platformer,3D",1 Player,13,1459,9.1
15,Wave Race 64,Nintendo64,1996-11-01,92,8.3,Nintendo,"Driving,Racing,Snow / Water",1-2 ,13,109,8.7
17,Super Puzzle Fighter II Turbo,PlayStation,1996-11-30,83,8.5,Capcom,"Miscellaneous,Puzzle,Matching",1-2 ,9,13,8.8
21,Mario Kart 64,Nintendo64,1997-02-10,83,8.6,Nintendo,"Driving,Racing,Kart",1-4 ,15,438,8.666666666666666
26,Star Fox 64,Nintendo64,1997-07-01,88,8.8,Nintendo,"Action,Shooter,Rail",1-4 ,16,271,8.7
37,Castlevania: Symphony of the Night,PlayStation,1997-10-02,93,9.2,Konami,"Action,Platformer,2D",1 Player,12,734,9.2
49,Resident Evil 2,PlayStation,1998-01-21,89,9.2,Capcom,"Action Adventure,Horror",1 Player,13,932,8.933333333333332
51,Yoshi's Story,Nintendo64,1998-03-01,65,7.4,Nintendo,"Action,Platformer,2D",1 Player,8,120,8.440000000000001
69,F-Zero X,Nintendo64,1998-09-30,85,8.7,Nintendo,"Driving,Racing,Futuristic",1-4 ,13,119,8.36
86,The Legend of Zelda: Ocarina of Time,Nintendo64,1998-11-23,99,9.1,Nintendo,"Action Adventure,Fantasy",1 Player,22,6533,8.52
97,Need for Speed: High Stakes,PlayStation,1999-03-01,86,8.5,EACanada,"Driving,Racing,Arcade",1-2 ,14,60,8.5
101,Street Fighter Alpha 3,PlayStation,1999-04-30,93,8.5,Capcom,"Action,Fighting,2D",1-2 ,12,95,8.85
117,Suikoden II,PlayStation,1999-08-31,82,9.2,Konami,"Role-Playing,Console-style RPG",1 Player,8,283,9.2
136,Resident Evil 3: Nemesis,PlayStation,1999-11-11,91,8.6,Capcom,"Action Adventure,Survival",No info,19,35,8.766666666666666
147,Ridge Racer 64,Nintendo64,2000-02-14,82,8.4,Nintendo,"Driving,Racing,Arcade",1-4 ,12,23,8.4
171,Street Fighter III: Double Impact,Dreamcast,2000-06-19,84,8.5,Capcom,"Action,Fighting,2D",1-2 ,19,22,8.533333333333333
177,Marvel vs. Capcom 2,Dreamcast,2000-06-29,90,8.8,Capcom,"Action,Fighting,2D",No info,22,93,8.6
199,Strider 2,PlayStation,2000-07-29,69,8.3,Capcom,"Action,Platformer,2D",1 Player,15,17,8.540000000000001
210,Madden NFL 2001,PlayStation,2000-08-22,90,6.8,EASports,"Sports,Traditional,Football,Sim",No info,14,4,6.8
214,Power Stone 2,Dreamcast,2000-08-23,87,8.8,Capcom,"Action,Fighting,3D",No info,19,57,8.583333333333334
218,Madden NFL 2001,PC,2000-08-24,78,5.8,EASports,"Sports,Traditional,Team,Football,Sim,Sim",1-2 ,13,5,6.3
227,Resident Evil: Survivor,PlayStation,2000-08-30,39,6.1,Capcom,"Action Adventure,Horror",1 Player,10,95,8.22857142857143
232,Pokemon Puzzle League,Nintendo64,2000-09-01,81,8.5,Nintendo,"Miscellaneous,Puzzle,Matching",No info,15,40,8.675
267,NHL 2001,PC,2000-09-28,90,6.5,EASports,"Sports,Traditional,Team,Ice Hockey,Sim,Sim",1-8 ,22,49,6.366666666666667
268,Dino Crisis 2,PlayStation,2000-09-29,86,8.8,Capcom,"Action Adventure,Sci-Fi",1 Player,13,270,8.3
273,Spawn: In the Demon's Hand,Dreamcast,2000-10-01,62,8.6,Capcom,"Action,Shooter,Third-Person,Fantasy",No info,16,11,8.333333333333334
274,Jarrett & Labonte Stock Car Racing,PlayStation,2000-10-03,80,7.7,Codemasters,"Driving,Racing,GT / Street",No info,8,6,7.7
275,Street Fighter III: 3rd Strike,Dreamcast,2000-10-04,84,8.7,Capcom,"Action,Fighting,2D",No info,15,51,8.370000000000001
285,NBA Live 2001,PlayStation,2000-10-16,86,7.1,EASports,"Sports,Traditional,Basketball,Sim",1-8 ,10,10,6.55
297,Silent Scope,Dreamcast,2000-10-23,63,8.8,Konami,"Action,Shooter,Rail",No info,10,5,9.0
304,Madden NFL 2001,PlayStation2,2000-10-23,91,7.5,EASports,"Sports,Traditional,Football,Sim",1-8 ,25,10,6.74
305,Mega Man Legends 2,PlayStation,2000-10-24,76,8.8,Capcom,"Adventure,General",1 Player,10,89,8.409090909090908
